model,experiment,years,GMTemp,ATL3 mean,IOD stddev,Nino34 stddev,AtlNino mean,AtlNino stddev,AtlNino AnnCycAmp,AMM mean,AMM stddev,AMM AnnCycAmp,global_mean_absolute_temperatures,global_mean_precipitation,NAO DJF,PDO mon
HadCRUT5-0-2,observations,45,0.46791,-1e+30,-1e+30,-1e+30,-1e+30,-1e+30,-1e+30,-1e+30,-1e+30,-1e+30,0.46791,-1e+30,-1e+30,-1e+30
HadISSTv1,observations,45,1e+20,26.6579,0.317071,0.866713,26.6579,0.401189,4.38928,2.14276,0.485774,7.24921,1e+20,1e+20,1e+20,0.286403
INM-CM4-8,lgm,200,9.54187,25.6977,0.250915,0.528261,25.6977,0.432159,1.67391,-2.9652,0.584344,5.67192,9.54187,2.73554,1.82116,0.304871
IPSL-CM5A-LR,lgm,200,7.43754,23.0723,0.541382,0.903658,23.0723,0.431733,4.551,0.577977,0.461892,8.04154,7.43754,2.30962,1.61037,0.272566
MIROC-ES2L,lgm,100,10.9411,25.0105,0.438173,1.02696,25.0105,0.727198,3.99324,0.392739,0.496837,5.42371,10.9411,2.91379,1.97299,0.330663
MIROC-ESM,lgm,100,8.59476,25.0469,0.555435,0.543529,25.0469,0.360308,3.41088,0.229083,0.441827,5.53191,8.59476,2.5209,1.89623,0.341445
MPI-ESM1-2-LR,lgm,200,9.62715,25.7442,0.45667,1.01183,25.7442,0.501608,3.11609,-0.928376,0.517963,6.82043,9.62715,2.62145,2.04534,0.380126
MPI-ESM-P,lgm,100,9.23234,24.943,0.406952,0.782662,24.943,0.460227,2.87111,-0.320848,0.476685,5.25287,9.23234,2.68221,1.92285,0.423723
MRI-CGCM3,lgm,100,8.90952,23.2944,0.425784,0.574592,23.2944,0.442943,5.07977,-0.293775,0.342197,5.86332,8.90952,2.5699,1.76143,0.289562
NASA,Bootstrap,45,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36
NASA,Bootstrap,45,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36
NASA,CDR,45,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36
NASA,CDR,45,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36
NASA,Team,45,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36
NASA,Team,45,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36
UofT-CCSM-4,lgm,100,7.34211,24.5671,0.622251,0.629749,24.5671,0.435421,4.17077,0.340957,0.339417,6.46696,7.34211,2.52427,1.23208,0.352743
ACCESS-ESM1-5,lig127k,200,14.916,27.0223,0.425932,0.66494,27.0223,0.471324,1.95257,1.62131,0.481039,6.01215,14.916,3.23609,1.78475,0.291774
AWI-ESM-1-1-LR,lig127k,100,12.756,26.2185,0.628081,0.518772,26.2185,0.415809,1.62409,-0.115046,0.421896,6.0918,12.756,2.83064,2.03268,0.317414
