model,experiment,years,GMTemp,ATL3 mean,IOD stddev,Nino34 stddev,AtlNino mean,AtlNino stddev,AMM AnnCycAmp,global_mean_absolute_temperatures,global_mean_precipitation,NAO DJF,PDO mon
KCM1-2-2,midHolocene,100,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36
MIROC-ES2L,midHolocene,100,14.5097,27.0108,0.443693,0.747076,27.0108,0.433182,5.61403,14.5097,3.16569,1.48593,0.324978
MIROC-ESM,midHolocene,100,13.3466,26.5616,0.311365,0.40528,26.5616,0.309623,5.39359,13.3466,2.80157,2.11005,0.217628
MPI-ESM1-2-LR,midHolocene,500,13.1723,26.7699,0.539554,0.661184,26.7699,0.395206,6.01727,13.1723,2.83434,2.0574,0.385616
MPI-ESM-P,midHolocene,100,13.404,26.4101,0.634282,0.666811,26.4101,0.380711,4.94118,13.404,2.92152,2.1196,0.340246
MRI-CGCM3,midHolocene,100,13.5644,25.9078,0.358138,0.66765,25.9078,0.395736,5.95358,13.5644,2.93184,2.13654,0.252189
MRI-ESM2-0,midHolocene,200,13.643,26.7229,0.419605,0.710367,26.7229,0.408617,5.85672,13.643,2.99714,2.083,0.24785
NESM3,midHolocene,100,13.4636,26.9504,0.448268,0.631218,26.9504,0.451094,6.93252,13.4636,2.85755,2.08953,0.306154
NorESM1-F,midHolocene,200,14.1452,27.4717,0.362102,0.538128,27.4717,0.351585,6.98488,14.1452,2.81905,2.13745,0.363506
NorESM2-LM,midHolocene,100,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36
CESM2,midPliocene-eoi400,1200,19.0015,31.5208,0.628791,1.1864,31.5208,0.47587,6.7532,19.0015,3.26056,2.29007,0.390229
EC-Earth3-LR,midPliocene-eoi400,100,18.1468,29.9173,0.416042,0.360539,29.9173,0.37517,8.5682,18.1468,3.12815,1.90947,0.32998
GISS-E2-R,midPliocene-eoi400,100,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36
HadGEM3-GC31-LL,midPliocene-eoi400,100,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36
IPSL-CM6A-LR,midPliocene-eoi400,200,15.9784,28.1071,0.55413,1.00014,28.1071,0.380845,8.45978,15.9784,3.17046,2.42541,0.357396
NorESM1-F,midPliocene-eoi400,201,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36
UofT-CCSM-4,midPliocene-eoi400,100,16.793,29.3439,0.441483,0.515634,29.3439,0.342221,6.19804,16.793,3.12722,1.60491,0.385801
ACCESS-ESM1-5,piControl,100,14.4566,26.9863,0.564604,0.789247,26.9863,0.585615,5.49363,14.4566,3.21295,1.75231,0.377958
AWI-ESM-1-1-LR,piControl,100,13.0093,26.9828,0.466082,0.666452,26.9828,0.438676,6.71959,13.0093,2.80474,2.24645,0.322838
BCC-CSM1-1,piControl,500,13.7105,26.6758,0.419873,0.695788,26.6758,0.389472,7.4523,13.7105,2.79524,1.96054,0.356253
CCSM4,piControl,1051,13.334,27.335,0.60704,1.05023,27.335,0.407018,6.47268,13.334,2.93121,2.00309,0.384577
CESM2-FV2,piControl,150,13.9196,27.2375,0.875828,1.01825,27.2375,0.411241,6.88134,13.9196,1e+20,2.62379,0.318153
CESM2,piControl,500,14.052,27.7394,0.663354,1.14069,27.7394,0.395473,6.96844,14.052,2.94556,2.22453,0.347988
CESM2-WACCM-FV2,piControl,300,13.9525,27.3356,0.860476,1.0821,27.3356,0.417675,6.89671,13.9525,2.99422,2.54969,0.353284
CNRM-CM5,piControl,850,13.2004,27.25,0.622205,0.810513,27.25,0.37087,8.15542,13.2004,3.06066,1.77623,0.313487
CNRM-CM6-1,piControl,500,12.8577,27.2503,0.588711,0.845644,27.2503,0.367451,8.70045,12.8577,2.90027,2.08737,0.299287
COSMOS-ASO,piControl,400,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36
CSIRO-Mk3-6-0,piControl,500,12.7337,23.9278,0.753192,0.680119,23.9278,0.419222,5.65409,12.7337,2.89504,1.65505,0.340734
CSIRO-Mk3L-1-2,piControl,1000,14.0412,26.8395,0.541786,0.534729,26.8395,0.28381,7.52484,14.0412,2.72258,1.39862,0.245115
EC-EARTH-2-2,piControl,40,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36
EC-Earth3-LR,piControl,201,13.2985,26.9101,0.650914,0.691268,26.9101,0.494125,8.95259,13.2985,2.81702,2.15962,0.344538
EC-Earth3,piControl,501,13.8628,27.224,0.637255,0.704554,27.224,0.516753,9.01164,13.8606,2.88372,2.06597,0.326828
EC-Earth3-Veg,piControl,500,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,2.87086,1e+20,1e+20
FGOALS-f3-L,piControl,561,12.8781,26.6683,0.728563,1.34987,26.6683,0.39476,5.26406,12.8736,2.84374,1.9323,0.31523
FGOALS-g2,piControl,700,13.1696,27.3382,0.369326,0.744639,27.3382,0.283885,5.67324,13.1696,2.85141,1.62353,0.26753
FGOALS-g3,piControl,500,14.0245,27.4243,0.613485,1.03126,27.4243,0.386863,4.09001,14.0245,2.87556,1.92277,0.289295
FGOALS-s2,piControl,501,13.6471,25.9305,0.721584,1.07175,25.9305,0.429956,5.12752,13.6471,2.66364,2.14147,0.301282
GISS-E2-1-G,piControl,851,13.7963,28.3939,0.470053,1.17505,28.3939,0.369516,6.19929,13.7963,2.97224,2.13448,0.397676
GISS-E2-R,piControl,500,14.2854,27.8356,0.296526,0.523797,27.8356,0.20035,5.14649,14.2854,3.17567,1.79167,0.270894
HadCM3,piControl,1199,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36
HadGEM2-CC,piControl,240,13.2435,26.0593,0.567674,0.705724,26.0593,0.555073,5.33957,13.2435,3.05299,1.83799,0.345244
HadGEM2-ES,piControl,336,13.7438,26.3599,0.589518,0.723614,26.3599,0.528125,5.63601,13.7438,3.09447,1.90531,0.338154
HadGEM3-GC31-LL,piControl,100,13.7975,27.3724,0.482733,0.932783,27.3724,0.547956,6.93825,13.7909,3.14378,2.03513,0.371188
INM-CM4-8,piControl,531,13.2592,26.9893,0.240179,0.457265,26.9893,0.298348,5.36277,13.2592,3.00131,1.49294,0.328231
IPSL-CM5A-LR,piControl,1000,12.0334,26.6652,0.485475,0.683329,26.6652,0.343752,8.13921,12.0334,2.6578,2.26882,0.351909
IPSL-CM6A-LR,piControl,1200,12.7134,26.2005,0.406106,0.975408,26.2005,0.419332,8.22774,12.7134,2.98399,2.25784,0.336309
KCM1-2-2,piControl,200,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36
LOVECLIM,piControl,100,15.5308,1.000000020040877e+20,0.102243,0.308419,27.024,0.368575,6.9296,15.5308,2.781239893625711,1.000000020040877e+20,1.000000020040877e+20
MIROC-ES2L,piControl,500,14.9837,27.5918,0.450346,1.1859,27.5918,0.577036,5.29871,14.9837,3.19475,1.56606,0.376929
MIROC-ESM,piControl,630,13.5989,27.1836,0.344274,0.469531,27.1836,0.340215,5.15886,13.5989,2.80773,2.17601,0.24521
MPI-ESM1-2-LR,piControl,1000,13.5333,27.3964,0.485115,0.795756,27.3964,0.440979,6.89163,13.5333,2.83392,2.08873,0.395949
MPI-ESM-P,piControl,1156,13.644,27.0224,0.534678,0.757,27.0224,0.435669,5.56733,13.644,2.92763,2.10393,0.343991
MRI-CGCM3,piControl,500,13.5892,26.4595,0.350029,0.601436,26.4595,0.390452,5.46798,13.5892,2.93443,2.04949,0.25509
MRI-ESM2-0,piControl,701,13.8211,27.2271,0.583477,0.904119,27.2271,0.426196,5.5514,13.8211,3.00822,2.24302,0.259942
NESM3,piControl,100,13.7292,27.5909,0.500973,0.695554,27.5909,0.493772,7.91566,13.7292,2.85558,2.01569,0.321432
NorESM1-F,piControl,200,14.5066,27.7282,0.415105,0.598274,27.7282,0.425464,6.54373,14.5066,2.84264,1.98317,0.338563
NorESM2-LM,piControl,391,14.466,27.1163,0.491605,1.27502,27.1163,0.601296,6.75994,14.466,2.86195,2.21277,0.345583
UofT-CCSM-4,piControl,100,12.6076,27.0012,0.524097,0.768866,27.0012,0.344262,6.56794,12.6076,2.88231,1.65343,0.361519
