compilation,reference,site,Proxy,Latitude,Longitude,Anom,source_table,weight
Bartlein,Bartlein et al. 2011,,pollen MAT,51.0,23.0,0.6931,Bartlein_mat.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,57.0,61.0,2.194,Bartlein_mat.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,57.0,-119.0,0.625,Bartlein_mat.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,7.0,39.0,5.3742,Bartlein_mat.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,61.0,87.0,-0.1833,Bartlein_mat.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,67.0,25.0,-0.3055,Bartlein_mat.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,67.0,-143.0,-0.1843,Bartlein_mat.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,63.0,-123.0,-3.946,Bartlein_mat.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,61.0,77.0,-1.3333,Bartlein_mat.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,39.0,21.0,-0.8213,Bartlein_mat.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,43.0,13.0,-0.8434,Bartlein_mat.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,53.0,-61.0,-1.234,Bartlein_mat.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,61.0,35.0,-0.4981,Bartlein_mat.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,41.0,47.0,2.3,Bartlein_mat.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,37.0,99.0,0.7,Bartlein_mat.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,43.0,-93.0,0.4988,Bartlein_mat.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,43.0,29.0,-0.4661,Bartlein_mat.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,69.0,-133.0,0.6052,Bartlein_mat.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,41.0,21.0,-2.037,Bartlein_mat.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,45.0,-121.0,4.593,Bartlein_mat.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,63.0,-7.0,0.7812,Bartlein_mat.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,59.0,69.0,-1.0202,Bartlein_mat.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,55.0,-71.0,-3.142,Bartlein_mat.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,55.0,59.0,0.8882,Bartlein_mat.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,53.0,-57.0,-2.362,Bartlein_mat.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,61.0,27.0,1.098,Bartlein_mat.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,55.0,-119.0,-0.751,Bartlein_mat.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,19.0,13.0,2.1333,Bartlein_mat.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,59.0,31.0,1.67,Bartlein_mat.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,51.0,-67.0,4.2095,Bartlein_mat.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,23.0,-3.0,-1.4,Bartlein_mat.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,53.0,-9.0,-0.9077,Bartlein_mat.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,59.0,-63.0,0.097,Bartlein_mat.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,53.0,9.0,-0.2497,Bartlein_mat.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,61.0,9.0,4.6705,Bartlein_mat.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,47.0,-123.0,-3.726,Bartlein_mat.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,-5.0,29.0,-1.9454,Bartlein_mat.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,67.0,29.0,1.5219,Bartlein_mat.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,49.0,25.0,0.2743,Bartlein_mat.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,57.0,37.0,2.2448,Bartlein_mat.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,49.0,23.0,-0.1603,Bartlein_mat.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,55.0,31.0,0.1968,Bartlein_mat.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,67.0,-157.0,0.0782,Bartlein_mat.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,51.0,1.0,0.5327,Bartlein_mat.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,37.0,-109.0,0.55,Bartlein_mat.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,61.0,69.0,2.6,Bartlein_mat.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,43.0,3.0,1.1547,Bartlein_mat.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,39.0,119.0,3.2333,Bartlein_mat.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,59.0,-5.0,-0.3097,Bartlein_mat.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,39.0,-111.0,0.095,Bartlein_mat.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,43.0,23.0,1.8638,Bartlein_mat.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,55.0,-113.0,-1.285,Bartlein_mat.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,49.0,91.0,4.8,Bartlein_mat.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,51.0,-115.0,-1.28,Bartlein_mat.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,69.0,27.0,0.0603,Bartlein_mat.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,63.0,23.0,1.0048,Bartlein_mat.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,49.0,3.0,0.859,Bartlein_mat.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,55.0,49.0,0.1293,Bartlein_mat.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,41.0,-89.0,-0.153,Bartlein_mat.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,-19.0,47.0,4.6333,Bartlein_mat.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,59.0,85.0,-2.1,Bartlein_mat.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,65.0,65.0,2.8177,Bartlein_mat.csv,1.0
