compilation,reference,site,Proxy,Latitude,Longitude,Anom,source_table,weight
Cleator,Cleator et al. 2020,,pollen MAT (assim.),39.0,-111.0,-2.355488,cleator2020_recon.csv,0.7771459614569709
Cleator,Cleator et al. 2020,,pollen MAT (assim.),27.0,-109.0,-5.835499,cleator2020_recon.csv,0.8910065241883679
Cleator,Cleator et al. 2020,,pollen MAT (assim.),29.0,-109.0,-7.063142,cleator2020_recon.csv,0.8746197071393957
Cleator,Cleator et al. 2020,,pollen MAT (assim.),31.0,-109.0,-8.37402,cleator2020_recon.csv,0.8571673007021123
Cleator,Cleator et al. 2020,,pollen MAT (assim.),33.0,-109.0,-9.376683,cleator2020_recon.csv,0.838670567945424
Cleator,Cleator et al. 2020,,pollen MAT (assim.),35.0,-109.0,-8.930138,cleator2020_recon.csv,0.8191520442889918
Cleator,Cleator et al. 2020,,pollen MAT (assim.),37.0,-109.0,-5.774101,cleator2020_recon.csv,0.7986355100472928
Cleator,Cleator et al. 2020,,pollen MAT (assim.),39.0,-109.0,-2.939637,cleator2020_recon.csv,0.7771459614569709
Cleator,Cleator et al. 2020,,pollen MAT (assim.),41.0,-109.0,-1.61532,cleator2020_recon.csv,0.754709580222772
Cleator,Cleator et al. 2020,,pollen MAT (assim.),25.0,-107.0,-5.095367,cleator2020_recon.csv,0.9063077870366499
Cleator,Cleator et al. 2020,,pollen MAT (assim.),27.0,-107.0,-6.548955,cleator2020_recon.csv,0.8910065241883679
Cleator,Cleator et al. 2020,,pollen MAT (assim.),29.0,-107.0,-7.652264,cleator2020_recon.csv,0.8746197071393957
Cleator,Cleator et al. 2020,,pollen MAT (assim.),31.0,-107.0,-8.562931,cleator2020_recon.csv,0.8571673007021123
Cleator,Cleator et al. 2020,,pollen MAT (assim.),33.0,-107.0,-9.109754,cleator2020_recon.csv,0.838670567945424
Cleator,Cleator et al. 2020,,pollen MAT (assim.),35.0,-107.0,-8.407575,cleator2020_recon.csv,0.8191520442889918
Cleator,Cleator et al. 2020,,pollen MAT (assim.),43.0,-107.0,-2.997335,cleator2020_recon.csv,0.7313537016191705
Cleator,Cleator et al. 2020,,pollen MAT (assim.),21.0,-105.0,-4.003236,cleator2020_recon.csv,0.9335804264972017
Cleator,Cleator et al. 2020,,pollen MAT (assim.),23.0,-105.0,-4.527123,cleator2020_recon.csv,0.9205048534524404
Cleator,Cleator et al. 2020,,pollen MAT (assim.),25.0,-105.0,-5.141416,cleator2020_recon.csv,0.9063077870366499
Cleator,Cleator et al. 2020,,pollen MAT (assim.),27.0,-105.0,-5.940982,cleator2020_recon.csv,0.8910065241883679
Cleator,Cleator et al. 2020,,pollen MAT (assim.),29.0,-105.0,-7.005208,cleator2020_recon.csv,0.8746197071393957
Cleator,Cleator et al. 2020,,pollen MAT (assim.),31.0,-105.0,-8.234336,cleator2020_recon.csv,0.8571673007021123
Cleator,Cleator et al. 2020,,pollen MAT (assim.),33.0,-105.0,-8.699472,cleator2020_recon.csv,0.838670567945424
Cleator,Cleator et al. 2020,,pollen MAT (assim.),35.0,-105.0,-8.012056,cleator2020_recon.csv,0.8191520442889918
Cleator,Cleator et al. 2020,,pollen MAT (assim.),37.0,-105.0,-6.163638,cleator2020_recon.csv,0.7986355100472928
Cleator,Cleator et al. 2020,,pollen MAT (assim.),43.0,-105.0,-5.473406,cleator2020_recon.csv,0.7313537016191705
Cleator,Cleator et al. 2020,,pollen MAT (assim.),19.0,-103.0,-3.467933,cleator2020_recon.csv,0.9455185755993168
Cleator,Cleator et al. 2020,,pollen MAT (assim.),21.0,-103.0,-4.382967,cleator2020_recon.csv,0.9335804264972017
Cleator,Cleator et al. 2020,,pollen MAT (assim.),23.0,-103.0,-4.664324,cleator2020_recon.csv,0.9205048534524404
