lat, lon, mat_anm_mean, mat_se_mean, mat_tstat,mat_sig, mat_sig_val,mat_npts,p
63,37,0.706,0.6846,1.0312,0,0,5,0.617827316
61,73,-1.7214,0.6871,-2.5052,-1,-1.7214,5,0.616744917
1,33,-0.3,0.6888,-0.4355,0,0,1,0.616010326
71,83,-1.5,0.6892,-2.1764,-1,-1.5,2,0.615837651
1,37,1.3312,0.6905,1.9277,0,0,6,0.615276902
45,11,1.0964,0.6915,1.5855,0,0,5,0.61484602
65,29,-0.0902,0.6915,-0.1304,0,0,5,0.61484602
53,27,-1.145,0.693,-1.6523,0,0,4,0.614200453
37,-3,-5.099,0.6954,-7.3329,-1,-5.099,5,0.613169429
57,9,0.5546,0.6954,0.7976,0,0,5,0.613169429
57,-113,-0.438,0.6955,-0.6298,0,0,1,0.61312652
65,-21,-0.0903,0.6959,-0.1297,0,0,4,0.612954924
55,29,-0.09,0.6986,-0.1288,0,0,5,0.611798335
45,9,-0.5488,0.7014,-0.7825,0,0,5,0.610602003
43,17,-1.0616,0.7018,-1.5127,0,0,5,0.610431355
53,7,0.6308,0.7034,0.8968,0,0,5,0.609749405
41,25,-0.6988,0.7034,-0.9935,0,0,5,0.609749405
47,61,-0.3073,0.7045,-0.4362,0,0,3,0.60928116
63,65,-1.5384,0.7049,-2.1824,-1,-1.5384,5,0.60911101
65,11,1.8347,0.7052,2.6017,1,1.8347,4,0.608983439
67,31,0.644,0.7054,0.913,0,0,5,0.608898411
43,5,-2.7092,0.712,-3.8053,-1,-2.7092,5,0.606101488
57,29,0.811,0.7124,1.1385,0,0,3,0.605932537
35,109,-2.45,0.7126,-3.438,-1,-2.45,6,0.605848085
23,19,5.1,0.7143,7.1399,1,5.1,1,0.605130891
45,27,1.1453,0.7143,1.6032,0,0,4,0.605130891
51,19,-0.2975,0.7146,-0.4163,0,0,4,0.605004447
55,11,1.9612,0.7157,2.7404,1,1.9612,4,0.604541126
43,25,1.63,0.7172,2.2729,1,1.63,3,0.603910102
63,19,1.2887,0.7218,1.7854,0,0,4,0.601980544
1,29,4.95,0.7236,6.8412,1,4.95,2,0.601227789
51,27,-0.33,0.7254,-0.4549,0,0,4,0.600476319
53,5,0.8,0.7263,1.1015,0,0,4,0.600101067
53,29,0.7,0.728,0.9615,0,0,3,0.599393131
67,69,-0.9683,0.7282,-1.3298,0,0,3,0.59930992
55,-63,2.2627,0.7296,3.1013,1,2.2627,3,0.598727885
59,-3,1.4955,0.7305,2.0472,1,1.4955,4,0.598354129
37,-113,-3.511,0.7329,-4.7906,-1,-3.511,1,0.597359012
41,-69,0.275,0.7336,0.3749,0,0,1,0.597069198
61,23,3.6273,0.7365,4.9248,1,3.6273,4,0.595870601
39,-105,1.18,0.7367,1.6017,0,0,1,0.595788061
49,5,1.273,0.7387,1.7233,0,0,4,0.594963532
57,85,-3.475,0.7389,-4.7032,-1,-3.475,4,0.594881165
23,121,-0.1667,0.7397,-0.2253,0,0,3,0.594551858
