1. PROJECT
------------

Title: Glacial and Holocene Climates Reconstructed by Vegetation-Model Inversion
Dates: 01/10/15 - 31/09/19
Funding organisation: NERC, ERC
Grant no.: NERC award reference 1859127, ERC (Global Change 2.0: Unlocking the past for a clearer future (grant number 694481))

2. DATASET
------------

Title: A new multi-variable benchmark for Last Glacial Maximum climate simulations

Description: Reconstruction of climate anomalies for the Last Glacial Maximum (LGM, ca 21,000 years ago), made by combining pollen based reconstructions (from Bartlein et al. 2011) and averaged outputs of LGM simulations from the 3rd round of the Palaeoclimate Model Intercomparison Project (PMIP, Braconnot et al. 2011), under a variational data assimilation technique. This reconstruction is designed to be used for data-model comparison, specifically against the results of PMIP4. The dataset consists of 6 variables: moisture index (the ratio precipitation and equilibrium evapotranspiration), mean annual precipitation (mm), mean annual temperature (degrees C), mean temperature of the coldest month (degrees C), mean temperature of the warmest month (degrees C), growing degree days above 5 degrees C (day degrees C). The standard deviation of these variables is also given.

This dataset supersedes the version published at http://dx.doi.org/10.17864/1947.229, where an incorrect value for MI SD was used in Australia, a non-linear MAP non-dimensionalisation was used (instead of the linear one here), the background error covariance matrix was square rooted improperly and incorrect values for MI were used in central Asia.

Publication Year: 2020
Creator(s): S.F. Cleator, S.P. Harrison, N.K. Nichols, I.C. Prentice, I. Roulstone
Organisation(s): University of Surrey, University of Reading, Imperial College London
Rights-holder(s): S.F. Cleator, University of Surrey, University of Reading, Imperial College London

References:
    Bartlein et al. 2011 - P. J. Bartlein, S. P. Harrison, S. Brewer, S. Connor, B. A. S. Davis, K. Gajewski, J. Guiot, T. I. Harrison-Prentice, A. Henderson, O. Peyron, I. C. Prentice, M. Scholze, H. Seppä, B. Shuman, S. Sugita, R. S. Thompson, A. E. Viau, J. Williams, and H. Wu. Pollen-based continental climate reconstructions at 6 and 21 ka: a global synthesis. Climate Dynamics, 37:775–802, 2011.
    Braconnot et al. 2011 - Pascale Braconnot, Sandy P. Harrison, Bette Otto-Bliesner, Ayako Abe-Ouchi, Johann Jungclaus, and Jean-Yves Peterschmitt. The Paleoclimate Modeling Intercomparison Project contribution to CMIP5. CLIVAR Exchanges, 16(56):15–19, 2011.

3. TERMS OF USE
-----------------
Copyright 2020 Sean F. Cleator, University of Surrey, University of Reading, Imperial College London. This dataset is licensed by the rights-holder(s) under a Creative Commons Attribution 4.0 International Licence: https://creativecommons.org/licenses/by/4.0/.

4. CONTENTS
------------
File listing:
    LGM_reconstruction.csv - Last Glacial Maximum reconstruction anomalies at each grid cell.

5. METHOD and PROCESSING
--------------------------

This dataset is made by combining site-based pollen reconstructions with aggregated outputs of PMIP3. The possible climates are varied and the most likely climate is found under a 3D-Variational data assimilation scheme. The uncertainty from this process is then used to screen out areas where the pollen reconstructions have had a minimal effect. By using a vegetation model, the effect of changing CO_2 concentrations on pollen reconstructions is also accounted for. The error of the resulting reconstruction is also calculated and given as 1 standard deviation from the variables.

The individual fields are: 
    lat - grid cell centre latitude
    lon - grid cell centre longitude
    MI - moisture index
    MAP - mean annual precipitation (mm)
    MAT - mean annual temperature (degrees C)
    MTCO - mean temperature of the coldest month (degrees C)
    MTWA - mean temperature of the warmest month (degrees C)
    GDD5 - growing degree days above 5 degrees C (days degrees C)
    MI SD - moisture index standard deviation
    MAP SD - mean annual precipitation standard deviation (mm)
    MAT SD - mean annual temperature standard deviation (degrees C)
    MTCO SD - mean temperature of the coldest month standard deviation (degrees C)
    MTWA SD - mean temperature of the warmest month standard deviation (degrees C)
    GDD5 SD - growing degree days above 5 degrees C standard deviation (days degrees C)

# Reconstruction of anomalies of the Last Glacial Maximum (ca 21000 years ago) made by combining pollen based reconstructions and average PMIP3 outputs under a variational data assimilation technique.
# 
# Variables are given as:
# 
# lat - grid cell centre latitude
# lon - grid cell centre longitude
# MI - moisture index
# MAP - mean annual precipitation (mm)
# MAT - mean annual temperature (degrees C)
# MTCO - mean temperature of the coldest month (degrees C)
# MTWA - mean temperature of the warmest month (degrees C)
# GDD5 - growing degree days above 5 degrees C (days degrees C)
# MI SD - moisture index standard deviation
# MAP SD - mean annual precipitation standard deviation (mm)
# MAT SD - mean annual temperature standard deviation (degrees C)
# MTCO SD - mean temperature of the coldest month standard deviation (degrees C)
# MTWA SD - mean temperature of the warmest month standard deviation (degrees C)
# GDD5 SD - growing degree days above 5 degrees C standard deviation (days degrees C).
# 
# NaN values represent situations where a reconstruction isn't given.
# 
# lat, lon, MI, MAP, MAT, MTCO, MTWA, GDD5, MI SD, MAP SD, MAT SD, MTCO SD, MTWA SD, GDD5 SD
47.000000,111.000000,  nan,10.488000,-6.856382,-6.664300,-6.079400,-876.296000,  nan,61.115000,0.671648,1.021630,0.579108,50.636100
49.000000,111.000000,  nan,5.750000,-6.900260,-6.850900,-5.943200,-748.878000,  nan,63.403000,0.927637,1.094950,1.006290,96.068200
51.000000,111.000000,  nan,-33.336000,-6.850788,-7.434100,-5.374200,-725.151000,  nan,67.504900,1.236850,1.258850,1.397350,140.163000
53.000000,111.000000,  nan,-44.685000,-6.947889,-7.922500,-5.071200,-542.190000,  nan,73.894500,1.513530,1.547760,1.621420,166.257000
55.000000,111.000000,  nan,-82.471000,-6.998892,-8.072000,-4.824360,-333.255300,  nan,76.760700,1.715270,1.725960,1.788040,55.429100
57.000000,111.000000,  nan,-146.520000,-6.949767,-8.187400,-4.500200,-456.218000,  nan,81.796500,1.810180,1.776540,1.984190,200.448000
59.000000,111.000000,  nan,-133.976000,-6.594375,-8.539200,-3.775500,-418.398000,  nan,70.646500,1.708370,1.814420,1.995090,197.280000
61.000000,111.000000,  nan,-107.806000,-6.568634,-8.872100,-3.419700,-342.023000,  nan,68.949100,1.682300,1.914510,1.968940,188.617000
63.000000,111.000000,  nan,-86.458000,-6.487882,-8.842800,-3.183700,-313.859000,  nan,66.379700,1.691730,1.985420,2.044680,183.858000
65.000000,111.000000,  nan,-73.601000,-6.396803,-8.494900,-3.021700,-301.795000,  nan,66.851400,1.785700,1.974670,2.262130,198.571000
67.000000,111.000000,  nan,-71.593000,-6.387266,-8.363200,-3.125100,-291.330000,  nan,64.716100,1.860040,1.960460,2.761070,224.577000
69.000000,111.000000,  nan,-65.788000,-6.458695,-8.392600,-2.990700,  nan,  nan,63.997700,2.026560,1.961410,3.280010,  nan
71.000000,111.000000,  nan,-59.994000,-6.598030,-8.680300,-2.348100,  nan,  nan,64.809200,2.119090,1.942020,3.541400,  nan
73.000000,111.000000,  nan,-44.013000,-7.038745,-9.788500,-0.903850,  nan,  nan,67.210000,2.188610,1.864620,3.780250,  nan
75.000000,111.000000,  nan,-33.096000,-7.880627,-10.820400,-0.249040,-10.820200,  nan,70.348300,2.140220,1.802640,3.440510,106.656000
-7.000000,113.000000,  nan,  nan,-3.917995,-4.278600,-3.075300,-1430.070000,  nan,  nan,1.019210,1.219130,1.422050,372.013000
-3.000000,113.000000,  nan,  nan,-3.751985,-3.850800,-3.665600,-1369.470000,  nan,  nan,1.085460,1.250880,1.398480,396.192000
-1.000000,113.000000,  nan,  nan,-3.392574,-3.499600,-3.258200,-1238.280000,  nan,  nan,1.118220,1.315390,1.307360,408.152000
1.000000,113.000000,  nan,  nan,-3.369386,  nan,-3.200900,-1229.820000,  nan,  nan,1.084150,  nan,1.276550,395.717000
3.000000,113.000000,  nan,  nan,-3.682392,  nan,  nan,-1344.060000,  nan,  nan,1.042560,  nan,  nan,380.535000
31.000000,113.000000,  nan,  nan,-4.184363,  nan,-3.603100,-1182.670000,  nan,  nan,1.245510,  nan,1.579140,353.283000
33.000000,113.000000,  nan,  nan,-4.351830,-4.585070,-3.738600,-1199.480000,  nan,  nan,1.224220,1.350990,1.487770,349.921000
35.000000,113.000000,  nan,  nan,-4.684506,-4.943110,-3.946500,-1238.300000,  nan,  nan,1.182050,1.334840,1.316700,273.909000
37.000000,113.000000,  nan,-150.149000,-5.172427,-5.190780,-4.505600,-1199.300000,  nan,112.954000,1.157070,1.323300,1.267440,268.099000
39.000000,113.000000,  nan,-106.076000,-5.578704,-5.454400,-5.091900,-1167.140000,  nan,105.135000,1.144800,1.318970,1.336250,204.478000
41.000000,113.000000,  nan,-74.442000,-6.015697,-5.782700,-5.627100,-978.606000,  nan,92.436800,1.101220,1.274960,1.345250,197.222000
43.000000,113.000000,  nan,-47.872000,-6.366693,-6.062600,-5.950500,-1038.309000,  nan,81.328100,1.037240,1.179720,1.292850,185.306000
45.000000,113.000000,  nan,-17.535000,-6.814637,-6.480600,-6.298100,-877.425000,  nan,73.602600,0.920674,1.110170,1.073620,97.928000
47.000000,113.000000,  nan,-4.989000,-7.134520,-6.854500,-6.395300,-979.145000,  nan,66.886400,0.823095,1.054910,0.870597,79.317700
49.000000,113.000000,  nan,-3.352000,-7.154374,-7.120000,-6.165600,-853.320000,  nan,68.001700,1.008100,1.100900,1.142080,108.975000
51.000000,113.000000,  nan,-19.876000,-7.083124,-7.607500,-5.732900,-759.301000,  nan,74.055200,1.286580,1.301520,1.463160,146.532000
53.000000,113.000000,  nan,-19.427000,-7.118516,-7.922800,-5.433320,-548.283000,  nan,82.847800,1.546400,1.600370,1.633370,167.781000
55.000000,113.000000,  nan,-33.946000,-7.191837,-8.017100,-5.161860,-337.217600,  nan,90.976100,1.774620,1.846980,1.784110,55.307400
57.000000,113.000000,  nan,-119.994000,-7.098063,-8.230200,-4.749130,-464.408000,  nan,84.908600,1.851770,1.867300,1.916610,116.296000
59.000000,113.000000,  nan,-149.182000,-6.653762,-8.376300,-4.123600,-403.247000,  nan,73.196700,1.712150,1.756140,1.981490,197.553000
61.000000,113.000000,  nan,-103.599000,-6.614289,-8.783300,-3.663200,-365.837000,  nan,71.438400,1.715220,1.926460,2.001440,190.390000
63.000000,113.000000,  nan,-79.199000,-6.508823,-8.771600,-3.403300,-328.051000,  nan,66.266400,1.710580,1.981940,2.078870,185.453000
65.000000,113.000000,  nan,-67.419000,-6.416021,-8.504100,-3.183400,-311.409000,  nan,67.318400,1.771680,1.959440,2.285370,197.461000
67.000000,113.000000,  nan,-70.169000,-6.433859,-8.462700,-3.143200,  nan,  nan,66.530500,1.879920,1.955730,2.746280,  nan
69.000000,113.000000,  nan,-63.665000,-6.526588,-8.542800,-2.942400,-272.676000,  nan,67.304800,2.076570,2.011010,3.262120,263.734000
71.000000,113.000000,  nan,-55.872000,-6.716215,-8.896300,-2.295100,  nan,  nan,68.039400,2.194100,2.013210,3.618110,  nan
73.000000,113.000000,  nan,-45.666000,-7.152853,-10.135500,-0.584900,  nan,  nan,69.523500,2.268100,1.895260,3.908320,  nan
-29.000000,115.000000,  nan,  nan,-4.132459,-4.937140,-3.388300,-1508.350000,  nan,  nan,1.087690,1.287620,1.421250,397.008000
-27.000000,115.000000,  nan,  nan,-4.121936,-4.281500,-3.911600,-1504.510000,  nan,  nan,1.058010,1.284360,1.279160,386.173000
-25.000000,115.000000,  nan,  nan,-4.151590,-4.050300,-4.189900,-1515.330000,  nan,  nan,1.043940,1.256160,1.228940,381.037000
-23.000000,115.000000,  nan,  nan,-4.039079,-3.905700,  nan,-1474.270000,  nan,  nan,1.059470,1.309730,  nan,386.708000
-3.000000,115.000000,  nan,  nan,-3.574626,-3.701600,-3.261700,-1304.730000,  nan,  nan,1.134850,1.217510,1.467030,414.220000
-1.000000,115.000000,  nan,  nan,-3.367025,-3.464900,-3.211700,-1228.950000,  nan,  nan,1.191470,1.402780,1.416000,434.887000
1.000000,115.000000,  nan,  nan,-3.572474,  nan,  nan,-1303.940000,  nan,  nan,1.181630,  nan,  nan,431.296000
3.000000,115.000000,  nan,  nan,-3.640671,  nan,  nan,-1328.830000,  nan,  nan,1.187220,  nan,  nan,433.334000
25.000000,115.000000,  nan,  nan,  nan,  nan,  nan,-1509.780000,  nan,  nan,  nan,  nan,  nan,386.660000
27.000000,115.000000,  nan,  nan,  nan,  nan,  nan,-1443.320000,  nan,  nan,  nan,  nan,  nan,315.623000
29.000000,115.000000,  nan,  nan,  nan,  nan,  nan,-1196.840000,  nan,  nan,  nan,  nan,  nan,302.886000
31.000000,115.000000,  nan,  nan,-4.461871,  nan,  nan,-1225.260000,  nan,  nan,1.217780,  nan,  nan,344.906000
33.000000,115.000000,  nan,  nan,-4.501530,  nan,-3.849100,-1233.990000,  nan,  nan,1.224750,  nan,1.543980,355.236000
35.000000,115.000000,  nan,-254.927000,-4.765677,-5.240830,-3.955800,-1222.890000,  nan,123.894000,1.271430,1.315400,1.611400,308.197000
37.000000,115.000000,  nan,-223.544000,-5.124981,-5.580080,-4.223700,-1248.110000,  nan,117.916000,1.325190,1.486550,1.633910,315.502000
39.000000,115.000000,  nan,-185.938000,-5.527492,-5.861740,-4.643500,-1251.600000,  nan,110.534000,1.233410,1.426610,1.492890,291.078000
41.000000,115.000000,  nan,-114.598000,-6.193996,-6.003100,-5.731200,-1066.579000,  nan,98.883600,1.170070,1.330620,1.442410,211.968000
43.000000,115.000000,  nan,-66.975000,-6.783332,-6.370500,-6.364000,-991.292000,  nan,84.953500,1.121530,1.248610,1.388490,128.599000
45.000000,115.000000,  nan,-34.603000,-7.158475,-6.708300,-6.656500,-1076.578000,  nan,76.704600,1.055980,1.167800,1.286130,118.010000
47.000000,115.000000,  nan,-18.077000,-7.421759,-7.208500,-6.695000,-1073.994000,  nan,72.577900,1.037780,1.142090,1.233320,141.033000
49.000000,115.000000,  nan,-15.890000,-7.412765,-7.570700,-6.379500,-955.590000,  nan,75.793200,1.178000,1.205200,1.407090,133.308000
51.000000,115.000000,  nan,-27.472000,-7.244655,-7.742800,-5.917000,-778.986000,  nan,81.887600,1.384620,1.365660,1.599030,157.994000
53.000000,115.000000,  nan,-36.070000,-7.187478,-8.011400,-5.603600,-597.565000,  nan,88.565100,1.589310,1.632580,1.695180,172.800000
55.000000,115.000000,  nan,-53.531000,-7.243270,-8.193000,-5.322050,-516.898000,  nan,93.267200,1.796670,1.906200,1.801190,185.547000
57.000000,115.000000,  nan,-114.179000,-7.306647,-8.607600,-4.995320,-488.539000,  nan,85.090900,1.867680,1.988580,1.894160,195.191000
59.000000,115.000000,  nan,-131.841000,-6.766485,-8.294300,-4.459140,-430.835000,  nan,77.741800,1.726650,1.747950,1.974100,197.098000
61.000000,115.000000,  nan,-89.763000,-6.652197,-8.691400,-3.907800,-381.513000,  nan,73.952200,1.730650,1.935220,2.024440,190.994000
63.000000,115.000000,  nan,-70.832000,-6.508264,-8.722800,-3.550100,-337.271000,  nan,68.116400,1.721220,1.995250,2.060650,183.587000
65.000000,115.000000,  nan,-60.638000,-6.435551,-8.535900,-3.248600,-314.537000,  nan,69.909600,1.790090,1.980950,2.251570,194.006000
67.000000,115.000000,  nan,-64.304000,-6.407908,-8.502400,-2.985800,-286.573000,  nan,70.431900,1.888160,1.991980,2.557210,214.575000
69.000000,115.000000,  nan,-62.724000,-6.484233,-8.633600,-2.706200,  nan,  nan,70.456600,2.014810,2.024580,2.918950,  nan
71.000000,115.000000,  nan,-57.212000,-6.748803,-9.072800,-2.204700,  nan,  nan,69.877500,2.192090,2.021610,3.553260,  nan
73.000000,115.000000,  nan,-46.515000,-7.247212,-10.578500,0.013900,  nan,  nan,72.874200,2.318470,1.964390,4.004630,  nan
-33.000000,117.000000,  nan,347.764000,-4.320359,-4.628070,-4.163300,-1576.940000,  nan,99.842600,0.765790,1.135230,0.974955,279.513000
-31.000000,117.000000,  nan,  nan,-4.403699,-4.532220,-4.264600,-1607.370000,  nan,  nan,0.859447,1.163470,1.123610,313.698000
-29.000000,117.000000,  nan,  nan,-4.496834,-4.589590,-4.389300,-1641.350000,  nan,  nan,1.002770,1.251340,1.351680,366.010000
-27.000000,117.000000,  nan,  nan,-4.503025,-4.362230,-4.593600,-1643.600000,  nan,  nan,1.070000,1.329680,1.342370,390.550000
-25.000000,117.000000,  nan,  nan,-4.573045,-4.195000,-4.842400,-1669.170000,  nan,  nan,1.104780,1.367220,1.337920,403.243000
-23.000000,117.000000,  nan,  nan,-4.486858,-4.149400,  nan,-1637.690000,  nan,  nan,1.121790,1.397410,  nan,409.452000
-21.000000,117.000000,  nan,  nan,-3.936459,  nan,-3.685400,-1436.810000,  nan,  nan,1.178080,  nan,1.347410,429.999000
1.000000,117.000000,  nan,  nan,-3.543944,  nan,  nan,-1293.520000,  nan,  nan,1.200260,  nan,  nan,438.095000
31.000000,117.000000,  nan,  nan,-4.840333,  nan,  nan,-1319.760000,  nan,  nan,1.171000,  nan,  nan,326.915000
33.000000,117.000000,  nan,  nan,-4.879747,  nan,-4.035300,-1290.230000,  nan,  nan,1.187390,  nan,1.457660,281.278000
35.000000,117.000000,  nan,-249.202000,-5.123960,-5.984440,-4.051500,-1231.930000,  nan,114.149000,1.226190,1.326940,1.457840,290.238000
37.000000,117.000000,  nan,-223.854000,-5.594487,-6.571400,-4.429300,-1256.440000,  nan,112.244000,1.352760,1.494210,1.683930,322.029000
39.000000,117.000000,  nan,-194.066000,-6.051335,-7.110000,-4.740500,-1241.970000,  nan,108.270000,1.331500,1.518950,1.653110,315.430000
41.000000,117.000000,  nan,-167.097000,-6.489368,-6.402800,-5.871000,-1299.970000,  nan,109.007000,1.251040,1.344820,1.561850,229.272000
43.000000,117.000000,  nan,-69.307000,-7.093434,-6.508900,-6.729100,-1107.386000,  nan,88.568200,1.220620,1.313490,1.516880,141.245000
45.000000,117.000000,  nan,-47.336000,-7.479254,-7.016200,-7.029200,-1076.948000,  nan,76.874400,1.204350,1.272900,1.491220,137.768000
47.000000,117.000000,  nan,-36.517000,-7.693887,-7.589200,-6.994700,-1035.643000,  nan,77.661300,1.232200,1.286810,1.509670,140.040000
49.000000,117.000000,  nan,-33.710000,-7.645571,-7.911300,-6.632200,-1005.190000,  nan,82.979400,1.339880,1.322310,1.632700,154.277000
51.000000,117.000000,  nan,-40.355000,-7.488603,-8.090000,-6.191300,-796.532000,  nan,84.025100,1.500120,1.486150,1.710040,167.900000
53.000000,117.000000,  nan,-45.735000,-7.357016,-8.163500,-5.860700,-726.726000,  nan,89.689200,1.667830,1.702030,1.797040,179.467000
55.000000,117.000000,  nan,-56.789000,-7.249784,-8.011800,-5.651560,-512.875000,  nan,95.069800,1.811660,1.856870,1.915490,111.882000
57.000000,117.000000,  nan,-80.028000,-7.199237,-8.117400,-5.336350,-361.026800,  nan,99.501500,1.842710,1.834600,2.006400,62.198500
59.000000,117.000000,  nan,-103.020000,-6.746466,-8.216100,-4.659100,-454.857000,  nan,80.593000,1.702470,1.738420,1.978530,195.986000
61.000000,117.000000,  nan,-91.031000,-6.675567,-8.774800,-3.989800,-389.431000,  nan,72.864200,1.740750,1.952570,2.013010,189.102000
63.000000,117.000000,  nan,-68.983000,-6.495222,-8.725100,-3.620500,-347.826000,  nan,70.759900,1.726130,2.011850,2.013360,179.941000
65.000000,117.000000,  nan,-59.934000,-6.388448,-8.535000,-3.321500,-315.563000,  nan,71.832400,1.765010,2.002640,2.181600,186.971000
67.000000,117.000000,  nan,-66.676000,-6.382055,-8.500000,-2.973300,-287.716000,  nan,71.872400,1.890080,2.002660,2.462230,210.026000
69.000000,117.000000,  nan,-70.155000,-6.464201,-8.690600,-2.640200,-255.358000,  nan,70.806300,1.987150,2.000040,2.818250,234.192000
71.000000,117.000000,  nan,-62.880000,-6.745351,-9.162300,-2.150710,  nan,  nan,70.253700,2.198840,1.999090,3.552970,  nan
73.000000,117.000000,  nan,-48.871000,-7.315915,-10.898600,0.451200,  nan,  nan,74.380600,2.371860,2.017680,4.153690,  nan
-33.000000,119.000000,  nan,  nan,-4.365575,-4.500560,-4.261200,-1593.430000,  nan,  nan,0.809446,1.128090,1.050640,295.448000
-31.000000,119.000000,  nan,  nan,-4.574285,-4.504630,-4.591900,-1669.620000,  nan,  nan,0.881451,1.188340,1.123310,321.730000
-29.000000,119.000000,  nan,  nan,-4.654721,-4.492920,-4.755500,-1698.970000,  nan,  nan,0.977242,1.266130,1.243840,356.693000
-27.000000,119.000000,  nan,  nan,-4.708064,-4.386160,-4.936600,-1718.430000,  nan,  nan,1.083100,1.357010,1.345090,395.331000
-25.000000,119.000000,  nan,  nan,-4.791437,-4.318520,-5.079900,-1748.890000,  nan,  nan,1.136790,1.404550,1.360160,414.927000
-23.000000,119.000000,  nan,  nan,-4.703685,-4.298600,  nan,-1716.860000,  nan,  nan,1.160390,1.438270,  nan,423.544000
-21.000000,119.000000,  nan,  nan,-4.250484,  nan,  nan,-1551.430000,  nan,  nan,1.159760,  nan,  nan,423.313000
-3.000000,119.000000,  nan,  nan,-3.510718,  nan,-3.313500,-1281.410000,  nan,  nan,1.189540,  nan,1.546200,434.184000
27.000000,119.000000,  nan,  nan,  nan,  nan,  nan,-1541.990000,  nan,  nan,  nan,  nan,  nan,248.172000
31.000000,119.000000,  nan,  nan,-5.381352,  nan,-4.123100,-1364.630000,  nan,  nan,1.151370,  nan,1.305080,256.480000
33.000000,119.000000,  nan,-287.130000,-5.452882,-7.118790,-3.905200,-1293.500000,  nan,111.312000,1.152730,1.305580,1.327650,267.535000
37.000000,119.000000,  nan,-186.399000,-6.308612,-8.803200,-4.268400,-1186.860000,  nan,108.853000,1.313750,1.441770,1.645190,311.289000
41.000000,119.000000,  nan,-167.142000,-6.855090,-7.043700,-6.012300,-1246.850000,  nan,110.324000,1.315170,1.318480,1.679440,245.834000
43.000000,119.000000,  nan,-89.158000,-7.324770,-6.858600,-6.914700,-1349.770000,  nan,91.601100,1.302810,1.338600,1.653970,239.746000
45.000000,119.000000,  nan,-59.951000,-7.705572,-7.281400,-7.264500,-1090.054000,  nan,81.851200,1.339850,1.357050,1.686470,155.491000
47.000000,119.000000,  nan,-53.937000,-7.880097,-7.735700,-7.272310,-764.796000,  nan,77.149000,1.393050,1.406800,1.724650,103.885000
49.000000,119.000000,  nan,-51.839000,-7.842463,-8.073400,-6.930200,-946.608000,  nan,76.639900,1.478680,1.439320,1.819200,171.545000
51.000000,119.000000,  nan,-55.970000,-7.719389,-8.347500,-6.487600,-798.861000,  nan,81.685800,1.616770,1.614030,1.829860,177.919000
53.000000,119.000000,  nan,-60.241000,-7.468341,-8.292200,-6.121000,-739.364000,  nan,90.214000,1.733690,1.755280,1.922200,187.924000
55.000000,119.000000,  nan,-66.182000,-7.238066,-7.975000,-5.876460,-555.183000,  nan,96.329300,1.812530,1.823290,2.024930,115.858000
57.000000,119.000000,  nan,-73.947000,-7.146818,-7.979300,-5.538370,-458.373700,  nan,105.290000,1.814920,1.780820,2.068650,122.050000
59.000000,119.000000,  nan,-101.005000,-6.791337,-8.473900,-4.704800,-489.339000,  nan,82.128800,1.709770,1.840220,1.998650,196.204000
61.000000,119.000000,  nan,-98.198000,-6.736538,  nan,-4.066300,-430.818000,  nan,73.014900,1.775740,  nan,2.007630,188.345000
63.000000,119.000000,  nan,-71.493000,-6.475179,  nan,-3.717800,-356.862000,  nan,71.943500,1.721360,  nan,1.975350,177.579000
65.000000,119.000000,  nan,-63.702000,-6.351393,-8.501900,-3.425200,-321.351000,  nan,72.853300,1.757600,2.016400,2.127570,183.273000
67.000000,119.000000,  nan,-72.421000,-6.341919,-8.431200,-3.054300,-294.678000,  nan,72.461900,1.882670,2.006060,2.388690,206.433000
69.000000,119.000000,  nan,-75.916000,-6.405536,-8.624600,-2.687700,  nan,  nan,71.428600,1.968640,1.969850,2.780450,  nan
71.000000,119.000000,  nan,-71.782000,-6.758682,-9.200600,-2.157800,  nan,  nan,68.858300,2.193920,1.969640,3.575970,  nan
73.000000,119.000000,  nan,-50.070000,-7.452681,-11.355100,0.838400,  nan,  nan,75.445100,2.412370,1.979880,4.226460,  nan
-33.000000,121.000000,  nan,  nan,-4.275103,-4.367610,-4.167900,-1560.410000,  nan,  nan,0.860198,1.149560,1.089390,313.972000
-31.000000,121.000000,  nan,  nan,-4.601078,-4.441620,-4.661400,-1679.410000,  nan,  nan,0.929146,1.223150,1.166690,339.138000
-29.000000,121.000000,  nan,  nan,-4.728760,-4.456610,-4.888900,-1725.990000,  nan,  nan,1.009030,1.292920,1.279820,368.297000
-27.000000,121.000000,  nan,  nan,-4.799329,-4.385050,-5.057200,-1751.770000,  nan,  nan,1.101550,1.374050,1.370690,402.066000
-25.000000,121.000000,  nan,  nan,-4.885834,-4.386320,-5.117400,-1783.340000,  nan,  nan,1.151430,1.418090,1.374160,420.272000
-23.000000,121.000000,  nan,  nan,-4.797838,-4.342900,  nan,-1751.210000,  nan,  nan,1.165390,1.426730,  nan,425.367000
-3.000000,121.000000,  nan,  nan,-3.728793,-3.872500,-3.299800,-1361.000000,  nan,  nan,1.065330,1.107210,1.402830,388.846000
1.000000,121.000000,  nan,  nan,-3.193032,  nan,-3.046600,-1165.450000,  nan,  nan,1.096730,  nan,1.305540,400.306000
25.000000,121.000000,  nan,  nan,  nan,  nan,  nan,-2365.760000,  nan,  nan,  nan,  nan,  nan,365.121000
29.000000,121.000000,  nan,  nan,-6.310649,  nan,-4.003700,-1529.180000,  nan,  nan,1.136500,  nan,1.237360,237.190000
31.000000,121.000000,  nan,-231.706000,-6.268901,-9.283370,-3.842000,-1484.830000,  nan,132.503000,1.180900,1.579520,1.255060,256.635000
37.000000,121.000000,  nan,-124.064000,-7.080226,-11.605500,-5.069900,-1250.620000,  nan,106.257000,1.209110,1.320620,1.542520,288.651000
41.000000,121.000000,  nan,-156.760000,-7.351596,-8.288000,-6.101800,-1396.520000,  nan,105.983000,1.379420,1.374760,1.826030,264.332000
43.000000,121.000000,  nan,-119.209000,-7.579580,-7.409600,-7.055100,-1371.550000,  nan,92.149200,1.430780,1.451220,1.832030,264.645000
45.000000,121.000000,  nan,-78.063000,-7.899834,-7.636800,-7.452400,-1369.510000,  nan,84.614900,1.457150,1.462010,1.838930,268.956000
47.000000,121.000000,  nan,-47.607000,-8.043462,-7.803800,-7.569400,-1159.725000,  nan,84.597400,1.522950,1.510210,1.913970,215.293000
49.000000,121.000000,  nan,-32.338000,-8.070349,-8.128600,-7.406260,-910.897000,  nan,88.028600,1.604300,1.559600,1.971960,187.038000
51.000000,121.000000,  nan,-58.206000,-7.878033,-8.414300,-6.886020,-650.375000,  nan,83.449400,1.711300,1.710780,1.994660,116.734000
53.000000,121.000000,  nan,-75.606000,-7.548051,-8.399400,-6.420500,-726.924000,  nan,92.317800,1.777450,1.789850,2.071600,198.240000
55.000000,121.000000,  nan,-88.779000,-7.175334,-8.111800,-5.980900,-607.737000,  nan,99.070900,1.795870,1.822580,2.120990,205.121000
57.000000,121.000000,  nan,-99.783000,-6.992668,-8.016500,-5.592550,-524.692000,  nan,93.535100,1.763470,1.776050,2.104620,206.805000
59.000000,121.000000,  nan,-116.887000,-6.834111,  nan,-4.767400,-509.633000,  nan,80.824400,1.718560,  nan,2.023980,196.985000
61.000000,121.000000,  nan,-102.218000,-6.723351,  nan,-4.216200,-403.890000,  nan,73.970700,1.749580,  nan,1.993110,187.247000
63.000000,121.000000,  nan,-74.380000,-6.471062,  nan,-3.889700,-375.092000,  nan,73.536900,1.726870,  nan,1.971250,177.558000
65.000000,121.000000,  nan,-71.627000,-6.334726,  nan,-3.552200,-330.809000,  nan,73.363600,1.790340,  nan,2.094220,182.425000
67.000000,121.000000,  nan,-79.990000,-6.271141,  nan,-3.192400,-304.691000,  nan,72.072100,1.880680,  nan,2.326080,202.630000
69.000000,121.000000,  nan,-79.984000,-6.332619,-8.453400,-2.829900,-272.662000,  nan,71.735800,1.972400,1.967470,2.757070,231.599000
71.000000,121.000000,  nan,-75.968000,-6.756226,-9.170100,-2.245750,  nan,  nan,69.090400,2.203770,1.955830,3.620650,  nan
-33.000000,123.000000,  nan,  nan,-4.130147,-4.446730,-3.715400,-1507.520000,  nan,  nan,0.913207,1.187740,1.133150,333.320000
